# Class blue green red nir swir_1 swir_2 NDVI LAI MNDWI slope
0.000000 157.666672 134.000000 155.666672 180.000000 169.000000 125.666664 0.070404 17.536468 -0.113704 0.000000
0.000000 375.000000 356.000000 347.666656 358.000000 302.666656 259.333344 0.014446 -0.370489 0.079564 0.000000
0.000000 328.000000 339.000000 339.000000 380.000000 308.000000 256.000000 0.057024 -8.359000 0.047913 1.666667
0.000000 140.666672 120.000000 139.000000 132.333328 105.666664 101.666664 -0.024648 -7.429657 0.063274 0.000000
0.000000 222.333328 220.000000 201.666672 216.333328 168.666672 127.333336 0.035092 -0.718910 0.132944 0.000000
0.000000 231.222229 194.666672 206.333328 198.333328 169.333328 133.333328 -0.019505 0.156968 0.069256 0.000000
0.000000 251.777771 258.666656 232.222229 244.222229 185.555557 162.777771 0.025404 -0.624347 0.164555 0.000000
0.000000 305.000000 466.000000 390.000000 455.000000 307.000000 208.000000 0.076923 1.038195 0.205692 2.429563
0.000000 357.333344 378.111115 386.222229 448.444458 321.222229 250.333328 0.074377 -6.134153 0.080984 0.130946
0.000000 263.666656 255.000000 212.000000 232.666672 181.333328 127.333336 0.046331 -0.522072 0.168357 22.427176
0.000000 283.333344 394.333344 327.333344 189.333328 96.333336 83.333336 -0.268178 -187.777367 0.607150 0.000000
0.000000 353.666656 528.000000 502.000000 277.000000 188.333328 136.000000 -0.287491 -3.612521 0.472605 0.000000
0.000000 370.222229 494.555542 462.111115 238.333328 124.222221 108.777779 -0.320039 -9.257642 0.599939 0.000000
0.000000 505.444458 758.777771 771.000000 357.666656 196.555557 130.333328 -0.366337 -3.264278 0.588462 4.143330
0.000000 432.333344 577.888916 599.777771 337.222229 163.000000 125.222221 -0.280932 -3.535018 0.560715 0.000000
0.000000 362.000000 453.666656 384.000000 266.000000 190.666672 144.000000 -0.180227 10.082710 0.408929 0.000000
0.000000 426.777771 644.666687 676.555542 1142.222168 1078.333374 650.000000 0.252166 1.953615 -0.233646 5.371655
0.000000 286.111115 290.111115 381.444458 515.111084 427.111115 325.666656 0.151374 2.110630 -0.150535 18.186182
0.000000 357.555542 496.777771 379.777771 299.555542 220.000000 170.555557 -0.125673 0.754082 0.409794 15.335056
0.000000 262.666656 320.666656 208.222229 217.444443 156.777771 114.111115 0.023399 -0.295151 0.341662 24.180550
0.000000 198.666672 231.333328 172.666672 262.666656 141.333328 109.333336 0.206781 -4.402017 0.241632 5.190202
0.000000 360.000000 509.333344 537.888916 236.333328 77.666664 68.555557 -0.389008 -3.779477 0.734203 0.000000
0.000000 396.666656 559.000000 565.666687 229.000000 79.000000 78.000000 -0.423656 -5.039289 0.752113 0.000000
0.000000 412.333344 617.222229 627.000000 223.111115 71.000000 63.222221 -0.475323 -4.220399 0.793712 0.000000
