# Class blue green red nir swir_1 swir_2 NDVI LAI MNDWI slope
0.000000 211.222229 195.888885 206.666672 158.222229 236.111115 224.888885 -0.132757 -0.162643 -0.092975 0.000000
0.000000 213.888885 209.777771 231.666672 183.555557 241.333328 215.555557 -0.115881 -0.161644 -0.069087 0.000000
0.000000 125.888885 118.666664 114.222221 84.333336 139.777771 126.333336 -0.150804 -0.145515 -0.081807 1.666667
0.000000 116.444443 90.333336 79.000000 55.222221 96.444443 84.666664 -0.177396 -0.140274 -0.032937 0.000000
0.000000 131.666672 113.000000 117.777779 71.555557 106.777779 108.777779 -0.244150 -0.160701 0.028288 0.000000
0.000000 110.888885 79.555557 68.444443 43.111111 74.222221 70.222221 -0.227093 -0.141817 0.034479 0.000000
0.000000 104.222221 88.555557 79.333336 40.444443 80.555557 78.111115 -0.324824 -0.154134 0.047190 0.000000
0.000000 841.222229 1255.222168 1562.000000 1764.555542 2293.333252 1948.222168 0.060893 0.005518 -0.292787 0.130946
0.000000 173.888885 251.111115 116.777779 79.222221 179.111115 143.111115 -0.193543 -0.153851 0.167653 2.429563
0.000000 85.333336 112.333336 81.444443 52.444443 151.777771 121.666664 -0.216965 -0.144496 -0.149136 22.427176
0.000000 200.000000 263.555542 127.777779 52.666668 98.444443 86.888885 -0.416901 -0.190898 0.456359 0.000000
0.000000 245.444443 294.000000 167.000000 84.666664 77.333336 71.444443 -0.327240 -0.198543 0.583469 0.000000
0.000000 260.111115 319.666656 181.222229 65.888885 71.777779 66.333336 -0.466836 -0.231360 0.633293 0.000000
0.000000 211.666672 371.444458 178.888885 43.555557 76.666664 75.000000 -0.606817 -0.246398 0.657466 0.000000
0.000000 443.444458 705.777771 702.111084 347.888885 386.222229 285.666656 -0.342701 -0.403490 0.297756 4.143330
0.000000 207.777771 238.333328 145.666672 79.333336 91.444443 80.000000 -0.294890 -0.181861 0.445302 0.000000
0.000000 98.222221 118.444443 135.777771 65.888885 115.888885 99.111115 -0.347170 -0.180309 0.010610 18.186182
0.000000 206.333328 337.333344 269.777771 445.333344 879.000000 592.333313 0.199982 0.027022 -0.415561 5.371655
0.000000 273.666656 440.555542 188.888885 35.222221 130.666672 111.333336 -0.685639 -0.270440 0.540257 15.335056
0.000000 370.555542 582.666687 191.777771 37.777779 146.222229 119.222221 -0.673873 -0.283694 0.598422 24.180550
0.000000 414.555542 690.666687 660.444458 166.111115 81.777779 75.666664 -0.598077 -0.523753 0.788287 0.000000
0.000000 114.111115 160.333328 73.666664 40.444443 146.111115 115.555557 -0.297675 -0.149221 0.043484 5.190202
0.000000 224.444443 275.333344 164.111115 77.333336 86.000000 77.000000 -0.359428 -0.201690 0.523981 0.000000
0.000000 331.777771 450.666656 520.000000 271.000000 167.888885 157.111115 -0.314988 -0.324573 0.457451 0.000000
0.000000 218.777771 272.555542 147.666672 63.888889 72.444443 69.777779 -0.396135 -0.199399 0.580050 0.000000
0.000000 403.888885 689.000000 647.333313 199.555557 77.111115 69.666664 -0.528736 -0.484384 0.798698 0.000000
0.000000 630.000000 1215.666626 1097.000000 363.000000 389.000000 291.444458 -0.503160 -0.661332 0.527587 2.621251
0.000000 217.444443 415.333344 329.111115 2927.666748 1763.333374 1001.000000 0.797850 1.652961 -0.618602 2.498119
0.000000 452.888885 674.333313 272.444458 72.333336 158.666672 141.444443 -0.581374 -0.335799 0.619094 10.431656
0.000000 249.777771 421.555542 373.777771 242.666672 382.888885 318.444458 -0.220963 -0.229910 0.052092 9.664070
0.000000 167.555557 348.666656 212.666672 1028.333374 434.000000 278.444458 0.612731 0.536364 -0.123094 2.429563
0.000000 350.444458 615.777771 541.777771 169.777771 268.000000 216.777771 -0.523115 -0.429775 0.396447 2.429563
0.000000 114.222221 171.000000 94.222221 79.111115 249.666672 190.666672 -0.126875 -0.132137 -0.146880 4.139465
0.000000 314.111115 426.555542 147.444443 78.111115 187.333328 151.111115 -0.306905 -0.190934 0.389165 5.979003
0.000000 77.777779 195.666672 78.555557 50.777779 113.333336 100.666664 -0.226005 -0.143279 0.266420 3.933130
0.000000 131.888885 158.222229 43.555557 33.777779 118.333336 102.333336 -0.132538 -0.127503 0.145354 16.690422
0.000000 457.555542 839.444458 915.888916 2955.111084 2540.888916 1572.777832 0.526813 1.110119 -0.503359 4.484770
0.000000 148.666672 219.333328 121.888885 69.222221 180.666672 157.888885 -0.276175 -0.167186 0.096380 24.159479
0.000000 309.555542 509.222229 445.111115 3151.000000 1741.333374 962.888916 0.752418 1.694974 -0.547559 5.018358
0.000000 92.333336 216.111115 127.000000 64.333336 124.666664 104.666664 -0.327662 -0.173933 0.268281 6.263874
0.000000 75.444443 167.000000 100.000000 79.444443 192.000000 159.222229 -0.116469 -0.136381 -0.073685 5.558915
0.000000 117.444443 320.000000 168.333328 88.777779 228.222229 198.444443 -0.309727 -0.188424 0.167211 6.263874
0.000000 82.111115 183.444443 106.444443 310.555542 187.888885 142.777771 0.457628 0.058621 -0.028446 3.253764
0.000000 99.888885 128.777771 100.000000 163.888885 303.333344 216.444443 0.231946 -0.060516 -0.393531 6.278424
0.000000 303.555542 411.777771 446.555542 207.777771 79.222221 72.777779 -0.364936 -0.321542 0.677444 0.000000
0.000000 411.555542 654.222229 630.888916 203.000000 74.888885 72.666664 -0.513112 -0.473006 0.794619 0.000000
0.000000 331.444458 756.333313 470.222229 110.555557 87.222221 93.333336 -0.619444 -0.429434 0.793214 0.000000
0.000000 982.000000 1636.555542 1296.111084 316.333344 301.000000 247.111115 -0.609546 -0.944288 0.691737 8.743748
0.000000 994.444458 1867.333374 1000.222229 163.333328 157.777771 139.555557 -0.719405 -0.987187 0.844097 7.346246
0.000000 134.111115 325.777771 197.555557 141.222229 254.000000 206.222229 -0.169356 -0.167384 0.137643 5.866996
0.000000 123.444443 264.777771 155.666672 262.444458 242.000000 191.000000 0.242529 -0.024432 0.044513 5.284751
0.000000 132.555557 233.555557 163.333328 101.000000 193.111115 151.444443 -0.245715 -0.173921 0.093824 4.786890
0.000000 138.777771 342.555542 200.777771 134.666672 173.444443 151.888885 -0.198964 -0.176078 0.327323 10.774227
0.000000 120.777779 175.222229 90.111115 40.000000 132.777771 117.111115 -0.386919 -0.164848 0.137588 8.612604
0.000000 52.555557 90.222221 57.888889 222.222229 452.000000 281.777771 0.582493 0.027852 -0.668480 10.834725
0.000000 177.111115 327.000000 312.666656 603.888916 831.555542 561.888916 0.136504 0.094582 -0.393127 7.192782
0.000000 95.888885 183.555557 86.222221 52.333332 158.444443 137.222229 -0.244969 -0.149118 0.072375 11.779977
0.000000 35.333332 101.111115 59.444443 177.555557 407.333344 253.444443 0.492535 -0.015029 -0.601045 3.217476
0.000000 194.777771 301.777771 218.666672 62.555557 141.111115 108.888885 -0.556429 -0.260411 0.362539 11.611468
0.000000 159.000000 328.000000 195.333328 230.222229 736.555542 525.777771 0.079376 -0.087195 -0.366450 2.601802
0.000000 150.777771 176.111115 92.222221 70.000000 177.222229 156.888885 -0.139618 -0.139179 -0.001847 5.145201
0.000000 370.888885 559.888916 360.444458 153.444443 244.444443 194.555557 -0.402690 -0.314333 0.392243 3.346659
0.000000 155.888885 284.777771 208.333328 151.222229 246.222229 204.444443 -0.158907 -0.168481 0.072749 1.317616
0.000000 106.111115 172.222229 131.555557 97.777779 223.111115 189.111115 -0.147321 -0.148270 -0.129251 2.180246
0.000000 179.111115 275.111115 224.777771 142.222229 167.111115 127.333336 -0.225071 -0.191585 0.244270 21.362217
0.000000 210.111115 327.666656 144.000000 54.333332 186.111115 159.333328 -0.451948 -0.204807 0.274899 9.320335
0.000000 232.666672 353.777771 292.000000 60.111111 102.666664 99.444443 -0.658594 -0.326340 0.550067 0.000000
0.000000 143.888885 221.444443 132.000000 119.666664 362.888885 225.555557 -0.048847 -0.129344 -0.241975 15.140728
0.000000 456.888885 707.777771 738.333313 1250.777832 1325.444458 897.555542 0.222357 0.246515 -0.282710 7.479677
0.000000 60.222221 164.333328 74.000000 28.333334 130.777771 112.888885 -0.446198 -0.159220 0.113502 3.196091
0.000000 272.777771 440.888885 189.666672 70.666664 173.111115 138.111115 -0.457550 -0.235462 0.435926 5.383381
0.000000 898.000000 1487.555542 1732.777832 703.222229 153.777771 144.555557 -0.422646 -0.766269 0.812632 3.090029
0.000000 169.000000 243.333328 195.000000 66.222221 126.222221 114.111115 -0.493243 -0.234819 0.316186 0.000000
0.000000 132.555557 119.000000 142.111115 90.888885 77.555557 68.222221 -0.219802 -0.164569 0.210768 0.000000
0.000000 156.888885 156.333328 104.444443 75.777779 132.222229 116.555557 -0.159951 -0.145219 0.083637 0.196419
0.000000 193.222229 433.555542 247.222229 77.666664 240.444443 196.555557 -0.522473 -0.269670 0.286691 1.926915
0.000000 202.555557 419.222229 353.666656 896.888916 472.111115 304.111115 0.428993 0.308534 -0.047630 2.579067
0.000000 246.333328 358.333344 274.222229 178.666672 297.333344 215.555557 -0.212255 -0.204632 0.094331 8.389930
0.000000 194.888885 335.666656 240.888885 127.444443 219.666672 181.888885 -0.308281 -0.219491 0.210227 7.245770
0.000000 592.666687 827.333313 301.555542 90.222221 206.444443 179.777771 -0.539479 -0.374444 0.600562 4.384956
0.000000 309.555542 413.444458 436.222229 1161.666626 883.777771 471.777771 0.423053 0.445004 -0.340676 10.308590
0.000000 190.333328 289.111115 156.666672 120.555557 238.000000 168.777771 -0.130319 -0.151910 0.096886 8.700344
0.000000 153.444443 243.222229 137.777771 90.555557 285.444458 218.222229 -0.249731 -0.161995 -0.072637 2.567400
0.000000 246.888885 381.222229 282.333344 101.111115 181.222229 130.333328 -0.473075 -0.282853 0.355943 6.334896
0.000000 519.666687 1005.777771 773.222229 4215.333496 3151.555664 1728.777832 0.689924 1.963430 -0.516155 6.675638
0.000000 295.222229 567.777771 534.444458 359.000000 531.666687 373.222229 -0.202600 -0.258237 0.043009 3.832639
0.000000 356.111115 591.222229 376.888885 125.666664 241.666672 183.111115 -0.499976 -0.351870 0.419806 5.210586
0.000000 128.555557 243.777771 137.222229 57.666668 201.222229 171.444443 -0.408369 -0.190554 0.095738 5.034603
0.000000 509.888885 781.000000 241.222229 64.333336 155.777771 124.888885 -0.578091 -0.326231 0.666291 6.145519
0.000000 374.444458 804.555542 457.333344 310.111115 190.555557 150.222229 -0.191980 -0.247966 0.617036 5.914225
0.000000 1507.555542 3075.555664 3464.333252 1937.555542 634.000000 460.000000 -0.282683 -0.762861 0.660193 6.152009
0.000000 196.666672 374.111115 185.222229 137.222229 391.333344 243.111115 -0.187104 -0.163009 0.030559 9.355638
0.000000 237.666672 493.222229 278.444458 349.444458 438.111115 308.555542 0.110068 -0.055446 0.062063 3.322196
0.000000 140.888885 189.222229 150.222229 70.111115 147.111115 129.333328 -0.363961 -0.191078 0.125069 0.000000
0.000000 189.888885 258.888885 209.333328 106.333336 203.777771 175.777771 -0.327597 -0.211739 0.125560 0.000000
0.000000 162.666672 228.000000 179.444443 77.555557 146.777771 132.666672 -0.397338 -0.210772 0.216041 0.000000
0.000000 283.000000 422.111115 188.222229 104.222221 218.111115 169.666672 -0.288435 -0.201390 0.320619 2.368175
0.000000 529.555542 814.888916 524.888916 317.444458 414.333344 345.666656 -0.247055 -0.315648 0.327148 2.536290
0.000000 145.000000 269.444458 150.444443 107.222221 224.444443 178.666672 -0.168583 -0.157399 0.091410 5.092842
0.000000 30.777779 73.000000 43.666668 33.666668 213.000000 170.555557 -0.129043 -0.126982 -0.490173 11.118053
0.000000 137.888885 282.222229 223.444443 286.333344 468.222229 335.888885 0.100870 -0.065345 -0.249872 3.108616
0.000000 264.777771 452.777771 289.777771 178.444443 379.555542 273.333344 -0.239607 -0.219417 0.097694 2.058914
0.000000 327.222229 519.666687 653.666687 277.555542 343.444458 260.333344 -0.404039 -0.407635 0.210362 4.591318
0.000000 71.666664 58.000000 61.555557 44.888889 132.666672 114.000000 -0.158814 -0.133263 -0.392470 0.000000
